id	US-1421005	US-1421094	US-1421095	US-1420999	US-1421000	US-1421010	US-1421096	US-1421097	US-1421098	US-1421001	US-1421002	US-1421004
ENSG00000234711	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230699	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241180	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	0	0	0	1	0	0	0	0	0	0	0	1
ENSG00000187634	0	0	0	0	0	0	0	0	0	1	2	0
ENSG00000188976	125.879303	125	240.8654938	216.8085022	163.7722931	167.9082947	116.9401016	96	146.6925049	200.9868011	224	221.8766937
ENSG00000187961	7	7	5	15	10	11	11	5	8	13	8	12
ENSG00000277294	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187583	7	6	3	9	14	9	6	3	4	14	11	12
ENSG00000187642	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272512	0	1	0	3	4	1	1	2	1	5	5	8
ENSG00000188290	12	5	10	18	26	16	7	5	13	47	25	38
ENSG00000231702	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224969	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187608	59	48	83	109	88	89	58	40	57	90	65	97
ENSG00000188157	179	113	172	272	295	187	184	127	145	219	217	208
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	4	7	4	4	10	7	1	1	3	4	7	16
ENSG00000273443	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237330	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131591	17	9	12	19	20	28	17	10	5	34	25	33
ENSG00000223823	0	0	0	0	1	0	1	0	0	0	1	2
ENSG00000207730	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198976	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272141	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000205231	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162571	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186891	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000186827	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000078808	300	284	447	393	349	365	317	237	219	412	470	417
ENSG00000176022	29	28	49	34	50	29	27	22	28	25	50	47
ENSG00000184163	3	2	6	2	0	3	2	2	2	2	2	3
ENSG00000260179	1	1	0	1	1	3	1	2	0	4	0	2
ENSG00000160087	75	62	93	98	110	125	84	54	59	109	123	129
ENSG00000230415	0	0	1	1	2	3	0	3	0	0	3	2
ENSG00000162572	13	4	14	15	14	14	9	9	5	12	14	14
ENSG00000131584	138	116	188	230	286	192	141	95	99	244	218	207
ENSG00000278073	0	0	0	0	0	0	0	0	0	0	0	0
